source_signature,row_count,taxonomy_group,species_guess,bacdive_status_closure,bacdive_validated_main,bacdive_exact_main,bacdive_nonempty_trait_count,metatraits_covered,metatraits_unique_trait_count
proteome:UP000000364,140,target_bacteria,lactococcus lactis subsp. cremoris,bacdive_species_exact_name_match,True,False,4,False,0
proteome:UP000000365,83,target_archaea,methanocorpusculum labreanum,bacdive_exact_culture_collection,True,True,5,False,0
proteome:UP000000366,129,target_bacteria,methylibium petroleiphilum,bacdive_exact_culture_collection,True,True,8,True,144
proteome:UP000000370,89,target_bacteria,lachnoclostridium phytofermentans,bacdive_species_candidate_unvalidated,False,False,9,True,147
proteome:UP000000374,108,target_bacteria,verminephrobacter eiseniae,bacdive_exact_designation,True,True,7,True,150
proteome:UP000000376,2,target_bacteria,arcanobacterium haemolyticum,bacdive_exact_genome,True,True,6,True,197
proteome:UP000000377,5,target_bacteria,streptomyces bingchenggensis,bacdive_not_found,False,False,0,True,132
proteome:UP000000390,3,target_archaea,halalkalicoccus jeotgali,bacdive_exact_genome,True,True,5,False,0
proteome:UP000000391,5,target_archaea,methanohalobium evestigatum,bacdive_exact_culture_collection,True,True,5,False,0
proteome:UP000000416,233,target_bacteria,buchnera aphidicola,bacdive_not_found,False,False,0,True,133
proteome:UP000000417,159,target_bacteria,symbiobacterium thermophilum,bacdive_exact_culture_collection,True,True,5,True,135
proteome:UP000000419,234,target_bacteria,brucella melitensis,bacdive_exact_culture_collection,True,True,2,False,0
proteome:UP000000420,219,target_bacteria,xanthomonas campestris,bacdive_species_exact_name_match,True,False,0,True,160
proteome:UP000000421,124,target_bacteria,bartonella henselae,bacdive_exact_genome,True,True,9,True,159
proteome:UP000000422,178,target_bacteria,wolinella succinogenes,bacdive_exact_genome,True,True,5,True,134
proteome:UP000000423,38,target_bacteria,ureaplasma parvum,bacdive_not_found,False,False,0,True,133
proteome:UP000000425,231,target_bacteria,neisseria meningitidis,bacdive_species_exact_name_match,True,False,2,True,189
proteome:UP000000426,275,target_bacteria,pseudomonas syringae,bacdive_species_exact_name_match,True,False,0,True,164
proteome:UP000000428,233,target_bacteria,streptomyces avermitilis,bacdive_exact_genome,True,True,9,True,153
proteome:UP000000429,230,target_bacteria,helicobacter pylori,bacdive_exact_culture_collection,True,True,4,True,177
proteome:UP000000430,281,target_bacteria,acinetobacter baylyi,bacdive_exact_culture_collection,True,True,5,True,158
proteome:UP000000431,101,target_bacteria,chlamydia trachomatis,bacdive_exact_culture_collection,True,True,4,False,0
proteome:UP000000432,217,target_bacteria,lactiplantibacillus plantarum,bacdive_species_exact_name_match,True,False,4,True,183
proteome:UP000000433,99,target_bacteria,dehalococcoides mccartyi,bacdive_species_exact_name_match,True,False,4,True,136
proteome:UP000000435,60,target_bacteria,ehrlichia canis,bacdive_not_found,False,False,0,True,132
proteome:UP000000438,109,target_archaea,picrophilus oshimae,bacdive_exact_culture_collection,True,True,4,True,134
proteome:UP000000439,128,target_bacteria,bifidobacterium longum,bacdive_species_exact_name_match,True,False,0,True,182
proteome:UP000000440,191,target_bacteria,thermosynechococcus vestitus,bacdive_not_found,False,False,0,False,0
proteome:UP000000441,182,target_bacteria,bacillus cereus,bacdive_species_exact_name_match,True,False,3,True,201
proteome:UP000000442,45,target_bacteria,desulforapulum autotrophicum,bacdive_exact_culture_collection,True,True,5,True,134
proteome:UP000000444,138,target_bacteria,staphylococcus carnosus,bacdive_species_exact_name_match,True,False,3,True,164
proteome:UP000000445,81,target_bacteria,thermotoga neapolitana,bacdive_exact_genome,True,True,5,True,134
proteome:UP000000447,51,target_bacteria,thermomicrobium roseum,bacdive_exact_culture_collection,True,True,4,True,134
proteome:UP000000448,68,target_bacteria,nautilia profundicola,bacdive_exact_culture_collection,True,True,9,True,138
proteome:UP000000449,87,target_bacteria,streptococcus uberis,bacdive_species_exact_name_match,True,False,5,True,177
proteome:UP000000450,110,target_bacteria,[acidovorax] ebreus,bacdive_not_found,False,False,0,True,133
proteome:UP000000467,1,target_bacteria,thermacetogenium phaeum,bacdive_exact_genome,True,True,5,True,137
proteome:UP000000491,2,target_bacteria,zymomonas mobilis,bacdive_species_exact_name_match,True,False,2,True,162
proteome:UP000000499,2,target_bacteria,streptococcus equi,bacdive_species_exact_name_match,True,False,7,True,174
proteome:UP000000528,47,target_bacteria,mycoplasmopsis pulmonis,bacdive_species_exact_name_match,True,False,4,True,135
proteome:UP000000529,79,target_bacteria,candidatus protochlamydia amoebophila,bacdive_not_found,False,False,0,False,0
proteome:UP000000530,332,target_bacteria,staphylococcus aureus,bacdive_species_exact_name_match,True,False,4,True,202
proteome:UP000000531,305,target_bacteria,staphylococcus epidermidis,bacdive_exact_culture_collection,True,True,9,True,200
proteome:UP000000532,212,target_bacteria,thermus thermophilus,bacdive_exact_genome,True,True,9,True,156
proteome:UP000000533,58,target_bacteria,ehrlichia ruminantium,bacdive_not_found,False,False,0,True,132
proteome:UP000000535,182,target_bacteria,neisseria gonorrhoeae,bacdive_species_exact_name_match,True,False,5,True,194
proteome:UP000000536,213,target_archaea,thermococcus kodakarensis,bacdive_exact_culture_collection,True,True,3,True,133
proteome:UP000000537,253,target_bacteria,aliivibrio fischeri,bacdive_species_exact_name_match,True,False,1,True,174
proteome:UP000000538,379,target_bacteria,salmonella enterica,bacdive_species_exact_name_match,True,False,8,True,210
proteome:UP000000540,194,target_bacteria,brucella abortus,bacdive_species_taxid_or_synonym_match,True,False,9,False,0
proteome:UP000000541,1,target_bacteria,salmonella enterica,bacdive_species_exact_name_match,True,False,8,True,210
proteome:UP000000543,238,target_bacteria,staphylococcus haemolyticus,bacdive_species_exact_name_match,True,False,4,True,183
proteome:UP000000545,129,target_bacteria,corynebacterium jeikeium,bacdive_species_exact_name_match,True,False,5,True,178
proteome:UP000000546,157,target_bacteria,psychrobacter arcticus,bacdive_exact_culture_collection,True,True,6,True,152
proteome:UP000000547,199,target_bacteria,colwellia psychrerythraea,bacdive_species_exact_name_match,True,False,5,True,145
proteome:UP000000548,29,target_bacteria,mesomycoplasma hyopneumoniae,bacdive_not_found,False,False,0,True,134
proteome:UP000000549,30,target_bacteria,mycoplasmopsis synoviae,bacdive_species_candidate_unvalidated,False,False,2,True,135
proteome:UP000000551,266,target_bacteria,pseudomonas savastanoi,bacdive_species_exact_name_match,True,False,2,True,158
proteome:UP000000552,306,target_bacteria,mesorhizobium japonicum,bacdive_exact_culture_collection,True,True,8,True,146
proteome:UP000000553,29,target_bacteria,mesomycoplasma hyopneumoniae,bacdive_not_found,False,False,0,True,134
proteome:UP000000554,193,target_archaea,halobacterium salinarum,bacdive_species_exact_name_match,True,False,1,False,0
proteome:UP000000555,189,target_bacteria,caldanaerobacter subterraneus,bacdive_species_exact_name_match,True,False,9,True,140
proteome:UP000000556,382,target_bacteria,pseudomonas putida,bacdive_exact_culture_collection,True,True,5,True,194
proteome:UP000000557,187,target_bacteria,gloeobacter violaceus,bacdive_not_found,False,False,0,False,0
proteome:UP000000559,233,target_fungi,candida albicans,not_applicable_fungi_or_non_bacdive_scope,False,False,0,False,0
proteome:UP000000560,251,target_fungi,emericella nidulans,not_applicable_fungi_or_non_bacdive_scope,False,False,0,False,0
proteome:UP000000561,69,target_fungi,mycosarcoma maydis,not_applicable_fungi_or_non_bacdive_scope,False,False,0,False,0
proteome:UP000000562,116,target_bacteria,wigglesworthia glossinidia,bacdive_not_found,False,False,0,True,131
proteome:UP000000564,134,target_bacteria,streptococcus pyogenes,bacdive_species_exact_name_match,True,False,5,True,184
proteome:UP000000565,149,target_bacteria,clostridium beijerinckii,bacdive_species_exact_name_match,True,False,3,True,174
proteome:UP000000566,104,target_bacteria,parabacteroides distasonis,bacdive_exact_genome,True,True,9,False,0
proteome:UP000000576,236,target_bacteria,xanthomonas citri,bacdive_species_exact_name_match,True,False,0,True,136
proteome:UP000000577,197,target_bacteria,geobacter sulfurreducens,bacdive_species_exact_name_match,True,False,5,True,134
proteome:UP000000578,5,target_archaea,nanoarchaeum equitans,bacdive_not_found,False,False,0,True,133
proteome:UP000000579,460,target_bacteria,haemophilus influenzae,bacdive_exact_culture_collection,True,True,7,True,183
proteome:UP000000580,212,target_bacteria,mycobacterium avium,bacdive_species_exact_name_match,True,False,1,True,159
proteome:UP000000581,84,target_bacteria,lactobacillus johnsonii,bacdive_species_exact_name_match,True,False,3,True,168
proteome:UP000000582,26,target_bacteria,corynebacterium glutamicum,bacdive_exact_genome,True,True,9,True,179
proteome:UP000000584,379,target_bacteria,vibrio cholerae,bacdive_exact_culture_collection,True,True,9,True,202
proteome:UP000000585,175,target_bacteria,streptococcus pneumoniae,bacdive_species_exact_name_match,True,False,9,True,191
proteome:UP000000586,175,target_bacteria,streptococcus pneumoniae,bacdive_species_exact_name_match,True,False,9,True,191
proteome:UP000000588,105,target_bacteria,porphyromonas gingivalis,bacdive_species_exact_name_match,True,False,3,False,0
proteome:UP000000590,190,target_archaea,methanococcus maripaludis,bacdive_exact_culture_collection,True,True,5,False,0
proteome:UP000000591,137,target_fungi,eremothecium gossypii,not_applicable_fungi_or_non_bacdive_scope,False,False,0,False,0
proteome:UP000000592,193,target_bacteria,thermus thermophilus,bacdive_exact_culture_collection,True,True,2,True,156
proteome:UP000000593,286,target_bacteria,photobacterium profundum,bacdive_exact_designation,True,True,8,True,160
proteome:UP000000594,9,target_bacteria,bacillus anthracis,bacdive_species_exact_name_match,True,False,0,True,139
proteome:UP000000595,259,target_archaea,methanosarcina mazei,bacdive_exact_culture_collection,True,True,5,False,0
proteome:UP000000596,330,target_bacteria,staphylococcus aureus,bacdive_species_exact_name_match,True,False,4,True,202
proteome:UP000000597,120,target_bacteria,bartonella quintana,bacdive_exact_designation,True,True,9,True,154
proteome:UP000000598,157,target_fungi,kluyveromyces lactis,not_applicable_fungi_or_non_bacdive_scope,False,False,0,False,0
proteome:UP000000599,97,target_fungi,debaryomyces hansenii,not_applicable_fungi_or_non_bacdive_scope,False,False,0,False,0
proteome:UP000000601,183,target_bacteria,buchnera aphidicola,bacdive_not_found,False,False,0,True,133
proteome:UP000000602,146,target_bacteria,desulfotalea psychrophila,bacdive_exact_culture_collection,True,True,7,True,146
proteome:UP000000603,136,target_bacteria,cutibacterium acnes,bacdive_exact_culture_collection,True,True,6,True,208
proteome:UP000000604,114,target_bacteria,rickettsia typhi,bacdive_exact_culture_collection,True,True,0,True,134
proteome:UP000000605,235,target_bacteria,burkholderia pseudomallei,bacdive_species_exact_name_match,True,False,0,True,159
proteome:UP000000606,264,target_bacteria,bacillus licheniformis,bacdive_exact_genome,True,True,7,True,179
proteome:UP000000607,223,target_bacteria,[mannheimia] succiniciproducens,bacdive_not_found,False,False,0,True,134
proteome:UP000000609,154,target_bacteria,legionella pneumophila,bacdive_species_exact_name_match,True,False,4,True,179
proteome:UP000000611,23,target_bacteria,borrelia duttonii,bacdive_not_found,False,False,0,True,133
proteome:UP000000612,22,target_bacteria,borrelia recurrentis,bacdive_not_found,False,False,0,True,133
proteome:UP000000613,325,target_bacteria,salmonella enterica,bacdive_species_exact_name_match,True,False,8,True,210
proteome:UP000000625,1523,target_bacteria,escherichia coli,bacdive_exact_culture_collection,True,True,3,True,218
proteome:UP000000626,222,target_bacteria,neisseria meningitidis,bacdive_exact_culture_collection,True,True,6,True,189
proteome:UP000000628,3,target_bacteria,jonesia denitrificans,bacdive_exact_genome,True,True,9,True,156
proteome:UP000000637,84,target_bacteria,paenarthrobacter aurescens,bacdive_species_exact_name_match,True,False,3,True,152
proteome:UP000000639,174,target_bacteria,psychromonas ingrahamii,bacdive_exact_culture_collection,True,True,6,True,157
proteome:UP000000641,21,target_archaea,thermofilum pendens,bacdive_exact_culture_collection,True,True,5,True,134
proteome:UP000000642,304,target_bacteria,yersinia enterocolitica,bacdive_species_exact_name_match,True,False,6,True,196
proteome:UP000000643,94,target_bacteria,bartonella bacilliformis,bacdive_exact_culture_collection,True,True,0,True,154
proteome:UP000000644,141,target_bacteria,polaromonas naphthalenivorans,bacdive_exact_designation,True,True,9,True,152
proteome:UP000000646,152,target_bacteria,campylobacter jejuni,bacdive_species_exact_name_match,True,False,4,True,183
proteome:UP000000647,154,target_bacteria,halorhodospira halophila,bacdive_exact_culture_collection,True,True,5,True,134
proteome:UP000000653,273,target_bacteria,pseudomonas aeruginosa,bacdive_species_exact_name_match,True,False,7,True,219
proteome:UP000000656,138,target_bacteria,leptospira borgpetersenii,bacdive_species_exact_name_match,True,False,5,True,145
proteome:UP000000657,79,target_bacteria,frankia alni,bacdive_exact_culture_collection,True,True,7,True,145
proteome:UP000000658,218,target_bacteria,pseudomonas entomophila,bacdive_exact_designation,True,True,6,True,146
proteome:UP000000659,354,target_bacteria,shigella flexneri,bacdive_species_exact_name_match,True,False,4,True,180
proteome:UP000000662,195,target_bacteria,burkholderia ambifaria,bacdive_exact_culture_collection,True,True,9,True,155
proteome:UP000000663,86,target_archaea,methanocella arvoryzae,bacdive_exact_culture_collection,True,True,8,False,0
proteome:UP000000664,62,target_bacteria,lactobacillus gasseri,bacdive_exact_genome,True,True,9,True,183
proteome:UP000000669,46,target_bacteria,buchnera aphidicola,bacdive_not_found,False,False,0,True,133
proteome:UP000000674,97,target_archaea,methanothrix thermoacetophila,bacdive_exact_culture_collection,True,True,4,False,0
proteome:UP000000684,200,target_bacteria,shewanella frigidimarina,bacdive_species_exact_name_match,True,False,9,True,163
proteome:UP000000716,101,target_bacteria,exiguobacterium sp.,bacdive_not_found,False,False,0,False,0
proteome:UP000000718,82,target_bacteria,thermodesulfovibrio yellowstonii,bacdive_exact_culture_collection,True,True,5,True,134
proteome:UP000000719,59,target_bacteria,halothermothrix orenii,bacdive_exact_culture_collection,True,True,0,True,135
proteome:UP000000723,53,target_bacteria,candidatus azobacteroides pseudotrichonymphae,bacdive_not_found,False,False,0,False,0
proteome:UP000000724,32,target_fungi,penicillium rubens,not_applicable_fungi_or_non_bacdive_scope,False,False,0,False,0
proteome:UP000000738,42,target_bacteria,micrococcus luteus,bacdive_exact_genome,True,True,7,True,190
proteome:UP000000739,75,target_bacteria,desulfatibacillum aliphaticivorans,bacdive_species_exact_name_match,True,False,9,True,143
proteome:UP000000740,56,target_archaea,halorubrum lacusprofundi,bacdive_exact_culture_collection,True,True,8,False,0
proteome:UP000000742,100,target_bacteria,anoxybacillus flavithermus,bacdive_species_exact_name_match,True,False,2,True,167
proteome:UP000000745,303,target_bacteria,escherichia fergusonii,bacdive_exact_genome,True,True,9,True,180
proteome:UP000000746,364,target_bacteria,escherichia coli,bacdive_species_exact_name_match,True,False,1,True,218
proteome:UP000000747,362,target_bacteria,escherichia coli,bacdive_species_exact_name_match,True,False,1,True,218
proteome:UP000000748,341,target_bacteria,escherichia coli,bacdive_species_exact_name_match,True,False,1,True,218
proteome:UP000000749,362,target_bacteria,escherichia coli,bacdive_species_exact_name_match,True,False,1,True,218
proteome:UP000000750,133,target_bacteria,streptococcus pyogenes,bacdive_exact_culture_collection,True,True,3,True,184
proteome:UP000000752,190,target_archaea,pyrococcus horikoshii,bacdive_exact_culture_collection,True,True,5,True,134
proteome:UP000000753,144,target_bacteria,shewanella piezotolerans,bacdive_exact_culture_collection,True,True,8,True,147
proteome:UP000000755,78,target_bacteria,christiangramia forsetii,bacdive_species_candidate_unvalidated,False,False,9,False,0
proteome:UP000000756,207,target_bacteria,aeromonas hydrophila,bacdive_species_exact_name_match,True,False,0,True,194
proteome:UP000000757,4,target_bacteria,mycolicibacterium smegmatis,bacdive_species_exact_name_match,True,False,0,True,154
proteome:UP000000758,39,target_archaea,cenarchaeum symbiosum,bacdive_not_found,False,False,0,False,0
proteome:UP000000760,102,target_bacteria,campylobacter fetus,bacdive_species_exact_name_match,True,False,5,True,169
proteome:UP000000762,93,target_bacteria,francisella tularensis,bacdive_species_exact_name_match,True,False,4,True,134
proteome:UP000000765,151,target_bacteria,mycobacterium ulcerans,bacdive_species_exact_name_match,True,False,0,True,135
proteome:UP000000770,188,target_bacteria,shewanella baltica,bacdive_species_exact_name_match,True,False,9,True,158
proteome:UP000000771,2,target_bacteria,acidimicrobium ferrooxidans,bacdive_exact_genome,True,True,7,True,139
proteome:UP000000773,72,target_bacteria,pediococcus pentosaceus,bacdive_exact_culture_collection,True,True,3,True,192
proteome:UP000000774,63,target_bacteria,oenococcus oeni,bacdive_species_exact_name_match,True,False,6,True,163
proteome:UP000000775,100,target_bacteria,helicobacter acinonychis,bacdive_species_exact_name_match,True,False,9,True,146
proteome:UP000000777,6,target_bacteria,carsonella ruddii,bacdive_not_found,False,False,0,False,0
proteome:UP000000779,159,target_bacteria,listeria welshimeri,bacdive_exact_genome,True,True,9,True,171
proteome:UP000000784,93,target_bacteria,delftia acidovorans,bacdive_exact_genome,True,True,4,True,160
proteome:UP000000787,88,target_bacteria,herpetosiphon aurantiacus,bacdive_exact_culture_collection,True,True,5,True,134
proteome:UP000000788,79,target_bacteria,prochlorococcus marinus,bacdive_not_found,False,False,0,False,0
proteome:UP000000789,68,target_bacteria,petrotoga mobilis,bacdive_exact_culture_collection,True,True,5,True,135
proteome:UP000000790,62,target_bacteria,lactobacillus helveticus,bacdive_species_exact_name_match,True,False,8,True,177
proteome:UP000000792,42,target_archaea,nitrosopumilus maritimus,bacdive_species_exact_name_match,True,False,8,True,141
proteome:UP000000796,55,target_bacteria,rickettsia rickettsii,bacdive_exact_designation,True,True,0,True,134
proteome:UP000000798,286,target_bacteria,aquifex aeolicus,bacdive_not_found,False,False,0,True,133
proteome:UP000000799,226,target_bacteria,campylobacter jejuni,bacdive_exact_genome,True,True,9,True,183
proteome:UP000000800,98,target_bacteria,chlamydia muridarum,bacdive_exact_designation,True,True,4,False,0
proteome:UP000000804,216,target_bacteria,helicobacter pylori,bacdive_exact_culture_collection,True,True,6,True,177
proteome:UP000000805,454,target_archaea,methanocaldococcus jannaschii,bacdive_exact_culture_collection,True,True,5,False,0
proteome:UP000000806,288,target_bacteria,mycobacterium leprae,bacdive_not_found,False,False,0,True,134
proteome:UP000000807,82,target_bacteria,mycoplasmoides genitalium,bacdive_exact_culture_collection,True,True,4,True,135
proteome:UP000000808,88,target_bacteria,mycoplasmoides pneumoniae,bacdive_exact_genome,True,True,5,True,142
proteome:UP000000809,273,target_bacteria,pasteurella multocida,bacdive_species_exact_name_match,True,False,2,True,196
proteome:UP000000811,89,target_bacteria,treponema pallidum,bacdive_exact_designation,True,True,3,True,137
proteome:UP000000812,223,target_bacteria,xylella fastidiosa,bacdive_species_exact_name_match,True,False,4,True,147
proteome:UP000000813,309,target_bacteria,agrobacterium fabrum,bacdive_species_candidate_unvalidated,False,False,9,False,0
proteome:UP000000814,254,target_bacteria,clostridium acetobutylicum,bacdive_exact_genome,True,True,6,True,152
proteome:UP000000816,120,target_bacteria,rickettsia conorii,bacdive_exact_culture_collection,True,True,0,True,137
proteome:UP000000817,267,target_bacteria,listeria monocytogenes,bacdive_species_exact_name_match,True,False,2,True,204
proteome:UP000000818,198,target_bacteria,clostridium perfringens,bacdive_species_exact_name_match,True,False,5,True,190
proteome:UP000000819,54,target_fungi,encephalitozoon cuniculi,not_applicable_fungi_or_non_bacdive_scope,False,False,0,False,0
proteome:UP000000821,137,target_bacteria,streptococcus agalactiae,bacdive_exact_culture_collection,True,True,9,True,179
proteome:UP000000822,247,target_bacteria,oceanobacillus iheyensis,bacdive_exact_culture_collection,True,True,8,True,147
proteome:UP000000823,141,target_bacteria,streptococcus agalactiae,bacdive_species_exact_name_match,True,False,9,True,179
proteome:UP000000841,4,target_bacteria,saccharomonospora viridis,bacdive_species_exact_name_match,True,False,0,True,134
proteome:UP000000844,4,target_bacteria,stackebrandtia nassauensis,bacdive_exact_culture_collection,True,True,6,True,155
proteome:UP000000845,1,target_bacteria,sebaldella termitidis,bacdive_exact_genome,True,True,6,True,152
proteome:UP000000849,3,target_bacteria,cellulomonas flavigena,bacdive_exact_culture_collection,True,True,4,True,156
proteome:UP000000851,11,target_bacteria,catenulispora acidiphila,bacdive_exact_culture_collection,True,True,6,True,155
proteome:UP000000925,2,target_bacteria,coraliomargarita akajimensis,bacdive_exact_culture_collection,True,True,6,False,0
proteome:UP000000933,1,target_bacteria,salinibacter ruber,bacdive_species_exact_name_match,True,False,8,False,0
proteome:UP000000935,13,target_bacteria,priestia megaterium,bacdive_exact_genome,True,True,2,True,178
proteome:UP000000936,3,target_bacteria,propionibacterium freudenreichii,bacdive_exact_culture_collection,True,True,7,True,182
proteome:UP000000939,1,target_bacteria,arcobacter nitrofigilis,bacdive_exact_culture_collection,True,True,9,True,162
proteome:UP000000960,1,target_bacteria,lancefieldella parvula,bacdive_exact_genome,True,True,9,True,154
proteome:UP000000998,149,target_bacteria,marinobacter nauticus,bacdive_exact_culture_collection,True,True,9,True,185
proteome:UP000001006,9,target_bacteria,shigella flexneri,bacdive_species_exact_name_match,True,False,4,True,180
proteome:UP000001007,185,target_bacteria,chlorobaculum tepidum,bacdive_exact_culture_collection,True,True,6,False,0
proteome:UP000001010,260,target_bacteria,xanthomonas campestris,bacdive_exact_genome,True,True,9,True,160
proteome:UP000001011,367,target_bacteria,yersinia pseudotuberculosis,bacdive_species_exact_name_match,True,False,5,True,187
proteome:UP000001012,78,target_bacteria,chlamydia abortus,bacdive_exact_culture_collection,True,True,4,False,0
proteome:UP000001013,223,target_archaea,pyrococcus furiosus,bacdive_exact_genome,True,True,5,True,135
proteome:UP000001014,692,target_bacteria,salmonella enterica,bacdive_exact_culture_collection,True,True,3,True,210
proteome:UP000001015,178,target_archaea,sulfurisphaera tokodaii,bacdive_exact_genome,True,True,4,True,134
proteome:UP000001016,44,target_bacteria,mycoplasma mycoides,bacdive_exact_culture_collection,True,True,0,True,144
proteome:UP000001017,118,target_archaea,thermoplasma volcanium,bacdive_exact_culture_collection,True,True,4,True,134
proteome:UP000001018,146,target_archaea,sulfolobus acidocaldarius,bacdive_exact_genome,True,True,4,True,134
proteome:UP000001020,585,target_bacteria,mycobacterium tuberculosis,bacdive_species_exact_name_match,True,False,3,True,147
proteome:UP000001021,57,target_bacteria,ehrlichia ruminantium,bacdive_not_found,False,False,0,True,132
proteome:UP000001022,170,target_bacteria,haemophilus ducreyi,bacdive_exact_culture_collection,True,True,5,False,171
proteome:UP000001023,201,target_bacteria,ruegeria pomeroyi,bacdive_exact_culture_collection,True,True,5,True,146
proteome:UP000001024,152,target_archaea,thermoplasma acidophilum,bacdive_exact_culture_collection,True,True,4,True,134
proteome:UP000001025,177,target_bacteria,rhodopirellula baltica,bacdive_exact_culture_collection,True,True,9,False,0
proteome:UP000001026,160,target_bacteria,prochlorococcus marinus,bacdive_not_found,False,False,0,False,0
proteome:UP000001027,240,target_bacteria,bordetella bronchiseptica,bacdive_species_exact_name_match,True,False,7,True,173
proteome:UP000001029,37,target_bacteria,elusimicrobium minutum,bacdive_exact_designation,True,True,5,True,132
proteome:UP000001030,301,target_bacteria,shigella boydii,bacdive_species_exact_name_match,True,False,6,True,179
proteome:UP000001031,56,target_bacteria,akkermansia muciniphila,bacdive_exact_genome,True,True,9,False,0
proteome:UP000001033,31,target_bacteria,orientia tsutsugamushi,bacdive_species_exact_name_match,True,False,0,True,135
proteome:UP000001035,158,target_bacteria,burkholderia cenocepacia,bacdive_exact_culture_collection,True,True,9,True,171
proteome:UP000001036,101,target_bacteria,cellvibrio japonicus,bacdive_exact_designation,True,True,9,True,157
proteome:UP000001039,93,target_bacteria,streptococcus pyogenes,bacdive_species_exact_name_match,True,False,5,True,184
