source_signature,taxonomy_group,mapped_pass_uid_count,inside_original_2478_universe,metatraits_local_snapshot_covered,bacdive_closure_available_if_checked,recommended_status,example_pass_uids,taxid,organism_name,source_resolution_level,metatraits_coverage_probe_present,bacdive_prior_2478_closure_present,notes
proteome:UP000287701,target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,A0A3R5XUE6,28251,Ornithobacterium rhinotracheale,proteome,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
proteome:UP000294847,target_fungi,2,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,F8U969; F8U970,318829,Pyricularia oryzae (Rice blast fungus) (Magnaporthe oryzae),proteome,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
proteome:UP000320707,target_fungi,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,A0A559KX76,61366,Fusarium oxysporum f. sp. cubense,proteome,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
proteome:UP000321555,target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,A0A5B8Z1N3,1742359,Cytobacillus dafuensis (Bacillus dafuensis),proteome,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
proteome:UP000324646,target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,A0A5C0SBK3,2599308,Crassaminicella thermophila,proteome,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
proteome:UP000325780,target_fungi,4,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,A0A5N6TQK6; A0A5N6TQL1; A0A5N6TQN5; A0A5N6TR74,36643,Aspergillus avenaceus,proteome,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
proteome:UP000501982,target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,A0A7L5EB83,823,Parabacteroides distasonis,proteome,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
proteome:UP000593892,target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,A0A7S7NT01,1473598,Paludibaculum fermentans,proteome,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
proteome:UP000613401,target_fungi,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,A0A8H4CUY8,474922,Colletotrichum gloeosporioides (Anthracnose fungus) (Glomerella cingulata),proteome,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
proteome:UP000800092,target_fungi,2,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,A0A6A6H2E0; A0A6A6H402,1048519,Viridothelium virens (Speckled blister lichen) (Trypethelium virens),proteome,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
proteome:UP000803844,target_fungi,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,A0A9P5CQV5,660469,Cryphonectria parasitica (strain ATCC 38755 / EP155),proteome,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
proteome:UP000825438,target_fungi,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,A0AB36VXQ9,498019,Candidozyma auris (Yeast) (Candida auris),proteome,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
proteome:UP001179946,target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,A0A1C3NEV1,562,Escherichia coli,proteome,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
proteome:UP001221413,target_fungi,7,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,A0AAD6ITA8; A0AAD6IZ24; A0AAD6J5K1; A0AAD6J5T3; A0AAD6NF83,74499,Drechslerella dactyloides (Nematode-trapping fungus) (Arthrobotrys dactyloides),proteome,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
proteome:UP001253851,target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,Q47720,37734,Enterococcus casseliflavus (Enterococcus flavescens),proteome,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
proteome:UP001265746,target_fungi,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,W6JPP9,1214568,Phomopsis amygdali (Fusicoccum amygdali),proteome,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
proteome:UP001305002,target_bacteria,3,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,P0DXG8; P0DXU5; P0DXU7,116188,Streptomyces coeruleorubidus,proteome,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
proteome:UP001319861,target_bacteria,4,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,P0DXE0; P0DXE1; P0DXE2; P0DXE3,322009,Sinomonas cyclohexanicum (Corynebacterium cyclohexanicum),proteome,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:1120948|organism:actinomycetospora chiangmaiensis (strain dsm 45062 / jcm 15998 / cctcc aa 205017 / nbrc 104400 / yim 0006),target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,P0DUV9,1120948,Actinomycetospora chiangmaiensis (strain DSM 45062 / JCM 15998 / CCTCC AA 205017,taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:112175|organism:humicola fuscoatra (tomato root rot fungus),target_fungi,3,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,P9WEG8; P9WEG9; P9WEH0,112175,Humicola fuscoatra (Tomato root rot fungus),taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:1122179|organism:lewinella persica (strain atcc 23167 / dsm 23188 / nbrc 102663 / ncimb 1396 / t-3) (herpetosiphon persicus),target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,P0DW52,1122179,Lewinella persica (strain ATCC 23167 / DSM 23188 / NBRC 102663 / NCIMB 1396 / T-,taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:1123033|organism:psychrobacter lutiphocae (strain dsm 21542 / ccug 56590 / immib l-1110),target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,P0DW49,1123033,Psychrobacter lutiphocae (strain DSM 21542 / CCUG 56590 / IMMIB L-1110),taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:1134445|organism:streptomyces somaliensis (strain atcc 33201 / dsm 40738 / jcm 12659 / kctc 9044 / nctc 11332 / nrrl b-12077 / ip 733),target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,P0DXD5,1134445,Streptomyces somaliensis (strain ATCC 33201 / DSM 40738 / JCM 12659 / KCTC 9044 ,taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:1151187|organism:enterococcus faecalis (strain engen0062 / b16457),target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,P0DX98,1151187,Enterococcus faecalis (strain EnGen0062 / B16457),taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:1151252|organism:clostridioides difficile (strain cd3),target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,P0DXD0,1151252,Clostridioides difficile (strain CD3),taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:1151743|organism:burkholderia sp. (strain hme13),target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,K4PZA7,1151743,Burkholderia sp. (strain HME13),taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:118127|organism:chryseobacterium proteolyticum,target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,Q9AQQ8,118127,Chryseobacterium proteolyticum,taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:1181734|organism:escherichia coli (strain kte188),target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,P0DX71,1181734,Escherichia coli (strain KTE188),taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:1232713|organism:xanthomonas citri pv. viticola (strain lmg 965 / ncppb 2475 / icmp 3867 / cfbp 7660) (xanthomonas campestris pv. viticola),target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,P0DV35,1232713,Xanthomonas citri pv. viticola (strain LMG 965 / NCPPB 2475 / ICMP 3867 / CFBP 7,taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:1295|organism:staphylococcus schleiferi,target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,P0DXA6,1295,Staphylococcus schleiferi,taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:1310692|organism:acinetobacter baumannii (strain 532279),target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,P0DW59,1310692,Acinetobacter baumannii (strain 532279),taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:1322345|organism:escherichia coli (strain atcc 25922 / dsm 1103 / lmg 8223 / ncimb 12210 / nctc 12241 / wdcm 00013 / seattle 1946),target_bacteria,2,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,P0DX91; P0DX92,1322345,Escherichia coli (strain ATCC 25922 / DSM 1103 / LMG 8223 / NCIMB 12210 / NCTC 1,taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:1353886|organism:caballeronia cordobensis (burkholderia cordobensis),target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,P0DXY1,1353886,Caballeronia cordobensis (Burkholderia cordobensis),taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:135835|organism:acinetobacter sp. (strain se19),target_bacteria,4,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,Q9F7D7; Q9F7D8; Q9F7E3; Q9F7E4,135835,Acinetobacter sp. (strain SE19),taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:138282|organism:aspergillus sclerotiorum,target_fungi,2,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,P0DXU9; P0DXV1,138282,Aspergillus sclerotiorum,taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:139061|organism:ascocoryne sarcoides (purple jellydisc fungus) (bulgaria sarcoides),target_fungi,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,P9WES3,139061,Ascocoryne sarcoides (Purple jellydisc fungus) (Bulgaria sarcoides),taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:1391|organism:aneurinibacillus aneurinilyticus (bacillus aneurinolyticus),target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,P22772,1391,Aneurinibacillus aneurinilyticus (Bacillus aneurinolyticus),taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:1402511|organism:pseudomonas aeruginosa (strain bwhpsa011 / pa011),target_bacteria,2,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,P0DX85; P0DX86,1402511,Pseudomonas aeruginosa (strain BWHPSA011 / Pa011),taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:1501233|organism:bacillus sp. (strain md1),target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,A0A059WI14,1501233,Bacillus sp. (strain MD1),taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:1507|organism:clostridium sp. (strain atcc 29733 / vpi c48-50),target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,P21215,1507,Clostridium sp. (strain ATCC 29733 / VPI C48-50),taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:164756|organism:mycobacterium sp. (strain mcs),target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,Q1B968,164756,Mycobacterium sp. (strain MCS),taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:164757|organism:mycobacterium sp. (strain jls),target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,A3PZF2,164757,Mycobacterium sp. (strain JLS),taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:1747|organism:cutibacterium acnes (propionibacterium acnes),target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,P0DW99,1747,Cutibacterium acnes (Propionibacterium acnes),taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:186497|organism:pyrococcus furiosus (strain atcc 43587 / dsm 3638 / jcm 8422 / vc1),target_archaea,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,E7FHH1,186497,Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1),taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:1889|organism:streptomyces ambofaciens,target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,P42709,1889,Streptomyces ambofaciens,taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
