enzyme_uid,taxonomy_group,source_signature,taxid,organism_name,strain_name_or_null,sequence_sha256,sequence_length,asset_consumable,asset_manifest_rows,loader_validation_status,dataset0_constructed,evidence_tier,formal_assets_mutated,production_pool_mutated,production_d4_mutated,source_universe_class,c8_trait_annotation_eligible,expansion_status,inclusion_status,exclusion_reason,source_reference_train_set_manifest,source_c8_2a_expansion_table,source_c8_1_lookup_index
A8A8G1,target_archaea,proteome:UP000000262,453591,Ignicoccus hospitalis (strain KIN4/I / DSM 18386 / JCM 14125),null,df4cbcdce55adc8437f99e7c3049488a61032c46afb184901caadacef52dda4e,102,true,6,PASS,True,lower_evidence_predicted_pocket,false,false,false,MAIN_2478,true,READY_FOR_C8_3_TRAIT_ANNOTATION,INCLUDED_C8_BOUNDED_30_RERUN,,c7_2_bounded_30_reference/TRAIN_SET_MANIFEST.csv,C8_UID_SOURCE_EXPANSION_TABLE.csv,C8_METATRAITS_LOOKUP_INDEX.jsonl
Q6L0M1,target_archaea,proteome:UP000000438,1122961,Picrophilus torridus (strain ATCC 700027 / DSM 9790 / JCM 10055 / NBRC 100828 / KAW 2/3),null,2cc889509cb34db784a0aa2159f770b69bf26e38d7a9469c68ca0233490cb72e,397,true,6,PASS,True,lower_evidence_predicted_pocket,false,false,false,MAIN_2478,true,READY_FOR_C8_3_TRAIT_ANNOTATION,INCLUDED_C8_BOUNDED_30_RERUN,,c7_2_bounded_30_reference/TRAIN_SET_MANIFEST.csv,C8_UID_SOURCE_EXPANSION_TABLE.csv,C8_METATRAITS_LOOKUP_INDEX.jsonl
Q5JE27,target_archaea,proteome:UP000000536,69014,Thermococcus kodakarensis (strain ATCC BAA-918 / JCM 12380 / KOD1) (Pyrococcus kodakaraensis (strain KOD1)),null,6b8b87fe2246b560a7a534ec2ca8b1a69c02e6e8a397ee3a627180489b7c02c3,395,true,6,PASS,True,lower_evidence_predicted_pocket,false,false,false,MAIN_2478,true,READY_FOR_C8_3_TRAIT_ANNOTATION,INCLUDED_C8_BOUNDED_30_RERUN,,c7_2_bounded_30_reference/TRAIN_SET_MANIFEST.csv,C8_UID_SOURCE_EXPANSION_TABLE.csv,C8_METATRAITS_LOOKUP_INDEX.jsonl
O57920,target_archaea,proteome:UP000000752,70601,Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3),null,847da16fb2f8ad299c973a4f68b9cfba76a3c9e4332da39c653e553199ff0144,393,true,6,PASS,True,lower_evidence_predicted_pocket,false,false,false,MAIN_2478,true,READY_FOR_C8_3_TRAIT_ANNOTATION,INCLUDED_C8_BOUNDED_30_RERUN,,c7_2_bounded_30_reference/TRAIN_SET_MANIFEST.csv,C8_UID_SOURCE_EXPANSION_TABLE.csv,C8_METATRAITS_LOOKUP_INDEX.jsonl
Q8U4J0,target_archaea,proteome:UP000001013,186497,Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1),null,af121dd0d0bdc33db8b9d696a053657a3c180f2892b8d8bcfc601da36a35f03e,393,true,6,PASS,True,lower_evidence_predicted_pocket,false,false,false,MAIN_2478,true,READY_FOR_C8_3_TRAIT_ANNOTATION,INCLUDED_C8_BOUNDED_30_RERUN,,c7_2_bounded_30_reference/TRAIN_SET_MANIFEST.csv,C8_UID_SOURCE_EXPANSION_TABLE.csv,C8_METATRAITS_LOOKUP_INDEX.jsonl
Q96YR7,target_archaea,proteome:UP000001015,273063,Sulfurisphaera tokodaii (strain DSM 16993 / JCM 10545 / NBRC 100140 / 7) (Sulfolobus tokodaii),null,093d86cf4bba881b94c29aa485a029f79785881f18424cc7dca446fa4766dbb7,495,true,6,PASS,True,lower_evidence_predicted_pocket,false,false,false,MAIN_2478,true,READY_FOR_C8_3_TRAIT_ANNOTATION,INCLUDED_C8_BOUNDED_30_RERUN,,c7_2_bounded_30_reference/TRAIN_SET_MANIFEST.csv,C8_UID_SOURCE_EXPANSION_TABLE.csv,C8_METATRAITS_LOOKUP_INDEX.jsonl
Q979Y7,target_archaea,proteome:UP000001017,273116,Thermoplasma volcanium (strain ATCC 51530 / DSM 4299 / JCM 9571 / NBRC 15438 / GSS1),null,ccb8bbd3b13b269b8c0f3648553960a1110d5092f014af686df30b35d5f95129,396,true,6,PASS,True,lower_evidence_predicted_pocket,false,false,false,MAIN_2478,true,READY_FOR_C8_3_TRAIT_ANNOTATION,INCLUDED_C8_BOUNDED_30_RERUN,,c7_2_bounded_30_reference/TRAIN_SET_MANIFEST.csv,C8_UID_SOURCE_EXPANSION_TABLE.csv,C8_METATRAITS_LOOKUP_INDEX.jsonl
Q4J8R1,target_archaea,proteome:UP000001018,330779,Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770),null,599d79310ec23c778d237f1bab50ccc689a4391422729c4b4332423238d84095,876,true,6,PASS,True,lower_evidence_predicted_pocket,false,false,false,MAIN_2478,true,READY_FOR_C8_3_TRAIT_ANNOTATION,INCLUDED_C8_BOUNDED_30_RERUN,,c7_2_bounded_30_reference/TRAIN_SET_MANIFEST.csv,C8_UID_SOURCE_EXPANSION_TABLE.csv,C8_METATRAITS_LOOKUP_INDEX.jsonl
Q9HKS9,target_archaea,proteome:UP000001024,273075,Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165),null,9061ad4622807db5d9e6989e02eaed950a40541d0a1122049230524945809c26,396,true,6,PASS,True,lower_evidence_predicted_pocket,false,false,false,MAIN_2478,true,READY_FOR_C8_3_TRAIT_ANNOTATION,INCLUDED_C8_BOUNDED_30_RERUN,,c7_2_bounded_30_reference/TRAIN_SET_MANIFEST.csv,C8_UID_SOURCE_EXPANSION_TABLE.csv,C8_METATRAITS_LOOKUP_INDEX.jsonl
C5A6E5,target_archaea,proteome:UP000001488,593117,Thermococcus gammatolerans (strain DSM 15229 / JCM 11827 / EJ3),null,96ef8ea46bb123ef617487a484af65a8d923c422300da83587f6f81f0fda9019,395,true,6,PASS,True,lower_evidence_predicted_pocket,false,false,false,MAIN_2478,true,READY_FOR_C8_3_TRAIT_ANNOTATION,INCLUDED_C8_BOUNDED_30_RERUN,,c7_2_bounded_30_reference/TRAIN_SET_MANIFEST.csv,C8_UID_SOURCE_EXPANSION_TABLE.csv,C8_METATRAITS_LOOKUP_INDEX.jsonl
A0A1D8PJ01,target_fungi,proteome:UP000000559,237561,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),null,69e2833459ce219b2e38d37c8daf1cb6b854cc07f23ad038566496c0c0a46347,895,true,6,PASS,True,lower_evidence_predicted_pocket,false,false,false,MAIN_2478,true,READY_FOR_C8_3_TRAIT_ANNOTATION,INCLUDED_C8_BOUNDED_30_RERUN,,c7_2_bounded_30_reference/TRAIN_SET_MANIFEST.csv,C8_UID_SOURCE_EXPANSION_TABLE.csv,C8_METATRAITS_LOOKUP_INDEX.jsonl
P9WEP8,target_fungi,proteome:UP000000560,227321,Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans),null,2510176b2dd4994e899e06bc2902d1efbd077465f5a1ac237826c5e7d24bc1fb,204,true,6,PASS,True,lower_evidence_predicted_pocket,false,false,false,MAIN_2478,true,READY_FOR_C8_3_TRAIT_ANNOTATION,INCLUDED_C8_BOUNDED_30_RERUN,,c7_2_bounded_30_reference/TRAIN_SET_MANIFEST.csv,C8_UID_SOURCE_EXPANSION_TABLE.csv,C8_METATRAITS_LOOKUP_INDEX.jsonl
P49602,target_fungi,proteome:UP000000561,5270,Mycosarcoma maydis (Corn smut fungus) (Ustilago maydis),null,547d33931ed020693e8be81d9c168672739cd9003832cb6ef33ed1dbe8e2d371,561,true,6,PASS,True,lower_evidence_predicted_pocket,false,false,false,MAIN_2478,true,READY_FOR_C8_3_TRAIT_ANNOTATION,INCLUDED_C8_BOUNDED_30_RERUN,,c7_2_bounded_30_reference/TRAIN_SET_MANIFEST.csv,C8_UID_SOURCE_EXPANSION_TABLE.csv,C8_METATRAITS_LOOKUP_INDEX.jsonl
Q750Q9,target_fungi,proteome:UP000000591,284811,Eremothecium gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056) (Yeast) (Ashbya gossypii),null,20b15b3ad58e98a2022c52d8316f079f13659fb218ccf5c2d3d12177605c6f01,271,true,6,PASS,True,lower_evidence_predicted_pocket,false,false,false,MAIN_2478,true,READY_FOR_C8_3_TRAIT_ANNOTATION,INCLUDED_C8_BOUNDED_30_RERUN,,c7_2_bounded_30_reference/TRAIN_SET_MANIFEST.csv,C8_UID_SOURCE_EXPANSION_TABLE.csv,C8_METATRAITS_LOOKUP_INDEX.jsonl
Q6CQA6,target_fungi,proteome:UP000000598,284590,Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica),null,ab64276e302973bfac7ada126f44aebdeedc4c44de677a7c1b9ffe76368d9f5b,271,true,6,PASS,True,lower_evidence_predicted_pocket,false,false,false,MAIN_2478,true,READY_FOR_C8_3_TRAIT_ANNOTATION,INCLUDED_C8_BOUNDED_30_RERUN,,c7_2_bounded_30_reference/TRAIN_SET_MANIFEST.csv,C8_UID_SOURCE_EXPANSION_TABLE.csv,C8_METATRAITS_LOOKUP_INDEX.jsonl
Q6BI59,target_fungi,proteome:UP000000599,284592,Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii),null,9037a67f032b5c883a6801951f0ba46d9833df166011a91558512417f3f06238,274,true,6,PASS,True,lower_evidence_predicted_pocket,false,false,false,MAIN_2478,true,READY_FOR_C8_3_TRAIT_ANNOTATION,INCLUDED_C8_BOUNDED_30_RERUN,,c7_2_bounded_30_reference/TRAIN_SET_MANIFEST.csv,C8_UID_SOURCE_EXPANSION_TABLE.csv,C8_METATRAITS_LOOKUP_INDEX.jsonl
O96720,target_fungi,proteome:UP000000819,284813,Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite),null,851ba7b4d06341d5a3d029d8d0777d9987b8f6e6e0d98db78356c85b8efd5719,212,true,6,PASS,True,lower_evidence_predicted_pocket,false,false,false,MAIN_2478,true,READY_FOR_C8_3_TRAIT_ANNOTATION,INCLUDED_C8_BOUNDED_30_RERUN,,c7_2_bounded_30_reference/TRAIN_SET_MANIFEST.csv,C8_UID_SOURCE_EXPANSION_TABLE.csv,C8_METATRAITS_LOOKUP_INDEX.jsonl
A0A0E1RWL5,target_fungi,proteome:UP000001261,246410,Coccidioides immitis (strain RS) (Valley fever fungus),null,91f6d9aff9c926f3a776c3296616bb60f8781278508f5946eed9f0bf438ddb4d,549,true,6,PASS,True,lower_evidence_predicted_pocket,false,false,false,MAIN_2478,true,READY_FOR_C8_3_TRAIT_ANNOTATION,INCLUDED_C8_BOUNDED_30_RERUN,,c7_2_bounded_30_reference/TRAIN_SET_MANIFEST.csv,C8_UID_SOURCE_EXPANSION_TABLE.csv,C8_METATRAITS_LOOKUP_INDEX.jsonl
Q6CBB5,target_fungi,proteome:UP000001300,284591,Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica),null,2cda3ceee5a6b05aaa342a619cb0f0fec0e362d69d59e79db70bd2f441c62aa3,271,true,6,PASS,True,lower_evidence_predicted_pocket,false,false,false,MAIN_2478,true,READY_FOR_C8_3_TRAIT_ANNOTATION,INCLUDED_C8_BOUNDED_30_RERUN,,c7_2_bounded_30_reference/TRAIN_SET_MANIFEST.csv,C8_UID_SOURCE_EXPANSION_TABLE.csv,C8_METATRAITS_LOOKUP_INDEX.jsonl
P53700,target_fungi,proteome:UP000001429,294748,Candida albicans (strain WO-1) (Yeast),null,a69507e197f9728a2c089768087599aed1ee85bd2794e964e14933258be516df,264,true,6,PASS,True,lower_evidence_predicted_pocket,false,false,false,MAIN_2478,true,READY_FOR_C8_3_TRAIT_ANNOTATION,INCLUDED_C8_BOUNDED_30_RERUN,,c7_2_bounded_30_reference/TRAIN_SET_MANIFEST.csv,C8_UID_SOURCE_EXPANSION_TABLE.csv,C8_METATRAITS_LOOKUP_INDEX.jsonl
