trait_id,trait_name,prediction_scope,file_name,taxonomy_namespace,taxonomic_rank,metatraits_trait_name,unit,group_1,group_2,ontology_ids,databases,example_taxon_id,example_taxon_name,example_consensus_value,example_minimum,example_median,example_mean,example_maximum,why_matched,boundary_note
F1,oxygen_tolerance,all,gtdb_family_summary_all.tsv.gz,gtdb,family,obligate aerobic,boolean,Environmental preferences,Atmosphere,OMP:0000185,BacDive-AI:SPIREv1=a1bef3e;Traitar:SPIREv1=8bd7d86,165559233,0-14-0-80-44-23,false,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,all,gtdb_family_summary_all.tsv.gz,gtdb,family,obligate anaerobic,boolean,Environmental preferences,Atmosphere,OMP:0000184,BacDive-AI:SPIREv1=a1bef3e;Traitar:SPIREv1=8bd7d86,165559233,0-14-0-80-44-23,true,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,all,gtdb_family_summary_all.tsv.gz,gtdb,family,aerotolerant,boolean,Environmental preferences,Atmosphere,MICRO:0000502,BacDive-AI:proGenomes3=a1bef3e;BacDive-AI:SPIREv1=a1bef3e;GenomeSPOT:proGenomes3=1.0.1;GenomeSPOT:SPIREv1=1.0.1;Traitar:proGenomes3=8bd7d86;Traitar:SPIREv1=8bd7d86,2057107470,0-14-0-80-59-12,No robust majority,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,all,gtdb_family_summary_all.tsv.gz,gtdb,family,capnophilic,boolean,Environmental preferences,Atmosphere,SNOMED:413748004,Traitar:proGenomes3=8bd7d86;Traitar:SPIREv1=8bd7d86,2057107470,0-14-0-80-59-12,false,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,all,gtdb_family_summary_all.tsv.gz,gtdb,family,facultative anaerobe,boolean,Environmental preferences,Atmosphere,OMP:0000087,Traitar:proGenomes3=8bd7d86;Traitar:SPIREv1=8bd7d86,2057107470,0-14-0-80-59-12,false,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,all,gtdb_family_summary_all.tsv.gz,gtdb,family,obligate aerobic,boolean,Environmental preferences,Atmosphere,OMP:0000185,BacDive-AI:proGenomes3=a1bef3e;BacDive-AI:SPIREv1=a1bef3e;Traitar:proGenomes3=8bd7d86;Traitar:SPIREv1=8bd7d86,2057107470,0-14-0-80-59-12,No robust majority,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,all,gtdb_family_summary_all.tsv.gz,gtdb,family,obligate anaerobic,boolean,Environmental preferences,Atmosphere,OMP:0000184,BacDive-AI:proGenomes3=a1bef3e;BacDive-AI:SPIREv1=a1bef3e;Traitar:proGenomes3=8bd7d86;Traitar:SPIREv1=8bd7d86,2057107470,0-14-0-80-59-12,No robust majority,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,all,gtdb_family_summary_all.tsv.gz,gtdb,family,aerotolerant,boolean,Environmental preferences,Atmosphere,MICRO:0000502,BacDive-AI:proGenomes3=a1bef3e;BacDive-AI:SPIREv1=a1bef3e;GenomeSPOT:proGenomes3=1.0.1;GenomeSPOT:SPIREv1=1.0.1;Traitar:SPIREv1=8bd7d86,980929432,0-14-0-80-60-11,false,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,all,gtdb_family_summary_all.tsv.gz,gtdb,family,capnophilic,boolean,Environmental preferences,Atmosphere,SNOMED:413748004,Traitar:SPIREv1=8bd7d86,980929432,0-14-0-80-60-11,false,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,all,gtdb_family_summary_all.tsv.gz,gtdb,family,facultative anaerobe,boolean,Environmental preferences,Atmosphere,OMP:0000087,Traitar:SPIREv1=8bd7d86,980929432,0-14-0-80-60-11,false,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,all,gtdb_family_summary_all.tsv.gz,gtdb,family,obligate aerobic,boolean,Environmental preferences,Atmosphere,OMP:0000185,BacDive-AI:proGenomes3=a1bef3e;BacDive-AI:SPIREv1=a1bef3e;Traitar:SPIREv1=8bd7d86,980929432,0-14-0-80-60-11,No robust majority,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,all,gtdb_family_summary_all.tsv.gz,gtdb,family,obligate anaerobic,boolean,Environmental preferences,Atmosphere,OMP:0000184,BacDive-AI:proGenomes3=a1bef3e;BacDive-AI:SPIREv1=a1bef3e;Traitar:SPIREv1=8bd7d86,980929432,0-14-0-80-60-11,true,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,all,gtdb_family_summary_all.tsv.gz,gtdb,family,aerotolerant,boolean,Environmental preferences,Atmosphere,MICRO:0000502,BacDive-AI:SPIREv1=a1bef3e;GenomeSPOT:SPIREv1=1.0.1;Traitar:SPIREv1=8bd7d86,495931365,01-FULL-45-15b,true,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,all,gtdb_family_summary_all.tsv.gz,gtdb,family,capnophilic,boolean,Environmental preferences,Atmosphere,SNOMED:413748004,Traitar:SPIREv1=8bd7d86,495931365,01-FULL-45-15b,true,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,all,gtdb_family_summary_all.tsv.gz,gtdb,family,facultative anaerobe,boolean,Environmental preferences,Atmosphere,OMP:0000087,Traitar:SPIREv1=8bd7d86,495931365,01-FULL-45-15b,false,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,all,gtdb_family_summary_all.tsv.gz,gtdb,family,obligate aerobic,boolean,Environmental preferences,Atmosphere,OMP:0000185,BacDive-AI:SPIREv1=a1bef3e;Traitar:SPIREv1=8bd7d86,495931365,01-FULL-45-15b,No robust majority,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,all,gtdb_family_summary_all.tsv.gz,gtdb,family,obligate anaerobic,boolean,Environmental preferences,Atmosphere,OMP:0000184,BacDive-AI:SPIREv1=a1bef3e;Traitar:SPIREv1=8bd7d86,495931365,01-FULL-45-15b,false,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,all,gtdb_family_summary_all.tsv.gz,gtdb,family,aerotolerant,boolean,Environmental preferences,Atmosphere,MICRO:0000502,BacDive-AI:SPIREv1=a1bef3e;GenomeSPOT:SPIREv1=1.0.1;Traitar:SPIREv1=8bd7d86,1879272904,02-FULL-45-10c,true,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,all,gtdb_family_summary_all.tsv.gz,gtdb,family,capnophilic,boolean,Environmental preferences,Atmosphere,SNOMED:413748004,Traitar:SPIREv1=8bd7d86,1879272904,02-FULL-45-10c,No robust majority,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,all,gtdb_family_summary_all.tsv.gz,gtdb,family,facultative anaerobe,boolean,Environmental preferences,Atmosphere,OMP:0000087,Traitar:SPIREv1=8bd7d86,1879272904,02-FULL-45-10c,false,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,all,gtdb_family_summary_all.tsv.gz,gtdb,family,obligate aerobic,boolean,Environmental preferences,Atmosphere,OMP:0000185,BacDive-AI:SPIREv1=a1bef3e;Traitar:SPIREv1=8bd7d86,1879272904,02-FULL-45-10c,false,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,all,gtdb_family_summary_all.tsv.gz,gtdb,family,obligate anaerobic,boolean,Environmental preferences,Atmosphere,OMP:0000184,BacDive-AI:SPIREv1=a1bef3e;Traitar:SPIREv1=8bd7d86,1879272904,02-FULL-45-10c,false,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,all,gtdb_family_summary_all.tsv.gz,gtdb,family,aerotolerant,boolean,Environmental preferences,Atmosphere,MICRO:0000502,BacDive-AI:SPIREv1=a1bef3e;GenomeSPOT:SPIREv1=1.0.1;Traitar:SPIREv1=8bd7d86,1109772479,1-14-0-10-31-34,false,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,all,gtdb_family_summary_all.tsv.gz,gtdb,family,capnophilic,boolean,Environmental preferences,Atmosphere,SNOMED:413748004,Traitar:SPIREv1=8bd7d86,1109772479,1-14-0-10-31-34,false,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,all,gtdb_family_summary_all.tsv.gz,gtdb,family,facultative anaerobe,boolean,Environmental preferences,Atmosphere,OMP:0000087,Traitar:SPIREv1=8bd7d86,1109772479,1-14-0-10-31-34,false,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,all,gtdb_family_summary_all.tsv.gz,gtdb,family,obligate aerobic,boolean,Environmental preferences,Atmosphere,OMP:0000185,BacDive-AI:SPIREv1=a1bef3e;Traitar:SPIREv1=8bd7d86,1109772479,1-14-0-10-31-34,false,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,all,gtdb_family_summary_all.tsv.gz,gtdb,family,obligate anaerobic,boolean,Environmental preferences,Atmosphere,OMP:0000184,BacDive-AI:SPIREv1=a1bef3e;Traitar:SPIREv1=8bd7d86,1109772479,1-14-0-10-31-34,true,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,no_predictions,gtdb_family_summary_no_predictions.tsv.gz,gtdb,family,aerotolerant,boolean,Environmental preferences,Atmosphere,MICRO:0000502,JGI/GOLD/IMG=2025-07-29,223750323,1-14-0-20-64-10,true,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,no_predictions,gtdb_family_summary_no_predictions.tsv.gz,gtdb,family,oxygen preference,factor,Environmental preferences,Atmosphere,MICRO:0000491,JGI/GOLD/IMG=2025-07-29,223750323,1-14-0-20-64-10,microaerophilic,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,no_predictions,gtdb_family_summary_no_predictions.tsv.gz,gtdb,family,aerotolerant,boolean,Environmental preferences,Atmosphere,MICRO:0000502,JGI/GOLD/IMG=2025-07-29,1551576428,2-02-FULL-39-32,true,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,no_predictions,gtdb_family_summary_no_predictions.tsv.gz,gtdb,family,oxygen preference,factor,Environmental preferences,Atmosphere,MICRO:0000491,JGI/GOLD/IMG=2025-07-29,1551576428,2-02-FULL-39-32,microaerophilic,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,no_predictions,gtdb_family_summary_no_predictions.tsv.gz,gtdb,family,aerotolerant,boolean,Environmental preferences,Atmosphere,MICRO:0000502,BV-BRC=2025-07-29,149144555,AB-539-J10,false,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,no_predictions,gtdb_family_summary_no_predictions.tsv.gz,gtdb,family,oxygen preference,factor,Environmental preferences,Atmosphere,MICRO:0000491,BV-BRC=2025-07-29,149144555,AB-539-J10,anaerobic,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,no_predictions,gtdb_family_summary_no_predictions.tsv.gz,gtdb,family,aerotolerant,boolean,Environmental preferences,Atmosphere,MICRO:0000502,BacDive=2025-07-29,318463998,Acanthopleuribacteraceae,true,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,no_predictions,gtdb_family_summary_no_predictions.tsv.gz,gtdb,family,oxygen preference,factor,Environmental preferences,Atmosphere,MICRO:0000491,BacDive=2025-07-29,318463998,Acanthopleuribacteraceae,aerobic,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,no_predictions,gtdb_family_summary_no_predictions.tsv.gz,gtdb,family,aerotolerant,boolean,Environmental preferences,Atmosphere,MICRO:0000502,BacDive=2025-07-29;BV-BRC=2025-07-29;JGI/GOLD=2025-07-29;JGI/GOLD/IMG=2025-07-29,1775432467,Acetivibrionaceae,false,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,no_predictions,gtdb_family_summary_no_predictions.tsv.gz,gtdb,family,oxygen preference,factor,Environmental preferences,Atmosphere,MICRO:0000491,BacDive=2025-07-29;BV-BRC=2025-07-29;JGI/GOLD=2025-07-29;JGI/GOLD/IMG=2025-07-29,1775432467,Acetivibrionaceae,No robust majority,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,no_predictions,gtdb_family_summary_no_predictions.tsv.gz,gtdb,family,aerotolerant,boolean,Environmental preferences,Atmosphere,MICRO:0000502,BacDive=2025-07-29;BV-BRC=2025-07-29;JGI/GOLD=2025-07-29;JGI/GOLD/IMG=2025-07-29,915913853,Acetobacteraceae,true,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,no_predictions,gtdb_family_summary_no_predictions.tsv.gz,gtdb,family,oxygen preference,factor,Environmental preferences,Atmosphere,MICRO:0000491,BacDive=2025-07-29;BV-BRC=2025-07-29;JGI/GOLD=2025-07-29;JGI/GOLD/IMG=2025-07-29,915913853,Acetobacteraceae,No robust majority,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,no_predictions,gtdb_family_summary_no_predictions.tsv.gz,gtdb,family,aerotolerant,boolean,Environmental preferences,Atmosphere,MICRO:0000502,BacDive=2025-07-29;BV-BRC=2025-07-29;JGI/GOLD/IMG=2025-07-29,537360503,Acetohalobiaceae,false,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,no_predictions,gtdb_family_summary_no_predictions.tsv.gz,gtdb,family,oxygen preference,factor,Environmental preferences,Atmosphere,MICRO:0000491,BacDive=2025-07-29;BV-BRC=2025-07-29;JGI/GOLD/IMG=2025-07-29,537360503,Acetohalobiaceae,No robust majority,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,no_predictions,gtdb_family_summary_no_predictions.tsv.gz,gtdb,family,aerotolerant,boolean,Environmental preferences,Atmosphere,MICRO:0000502,BacDive=2025-07-29;BV-BRC=2025-07-29;JGI/GOLD/IMG=2025-07-29,1471551112,Acetomicrobiaceae,false,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,no_predictions,gtdb_family_summary_no_predictions.tsv.gz,gtdb,family,oxygen preference,factor,Environmental preferences,Atmosphere,MICRO:0000491,BacDive=2025-07-29;BV-BRC=2025-07-29;JGI/GOLD/IMG=2025-07-29,1471551112,Acetomicrobiaceae,No robust majority,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,no_predictions,gtdb_family_summary_no_predictions.tsv.gz,gtdb,family,aerotolerant,boolean,Environmental preferences,Atmosphere,MICRO:0000502,BV-BRC=2025-07-29;JGI/GOLD/IMG=2025-07-29,1223190644,Acetonemaceae,false,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,no_predictions,gtdb_family_summary_no_predictions.tsv.gz,gtdb,family,oxygen preference,factor,Environmental preferences,Atmosphere,MICRO:0000491,BV-BRC=2025-07-29;JGI/GOLD/IMG=2025-07-29,1223190644,Acetonemaceae,anaerobic,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
